1999-00,14-Jan,6-Mar,52
2000-01,13-Dec,31-Mar,108
2001-02,1-Jan,26-Feb, 56
2002-03,9-Dec,15-Dec,--
"""",4-Jan,22-Mar, 83
2003-04,25-Dec,28-Dec,--
"""",  6 Jan,20-Mar, 77
2004-05,24-Dec,31-Mar, 97
2005-06,  8 Dec,12-Mar,  94
2006-07,18-Jan,26-Mar, 67
2007-08, 7 Dec,  7 Apr,122
2008-09,10-Dec,24-Mar,104
2009-10<br,27-Dec,25-Mar, 88
2010-11, 9 Dec, 3 Apr,112
2011-12, 3 Jan,12-Mar, 69
2012-13,31-Dec,11-Apr,101
2013-14,10-Dec,10-Apr,121
2014-15,  2 Dec,16-Dec,--
"""",  1 Jan, 2 Apr,105
2015-16,11-Jan,13-Mar, 62
2016-17,16-Dec, 7 Mar, 81
2017-18,26-Dec,29-Mar,93
2018-19,11-Dec,28-Dec,---
"""",10-Jan,31-Mar,97
